x,y,z,lp_x,lp_y,lp_z,hp_x,hp_y,hp_z
-2.109445626,-0.826732332,-0.218618955,,,,,,
0.611674241,0.792097054,-0.514204468,,,,,,
0.496030424,1.451553874,,,,,,,
-1.650644007,0.89900116,0.427531314,,,,,,
0.166002067,0.885176693,0.498285711,,,,,,
-1.388041056,-0.168795413,-0.252130564,,,,,,
-0.105184056,-1.644944175,0.046731741,,,,,,
-0.948423595,0.430088784,-0.397954466,,,,,,
0.325717666,0.723793442,-0.975828141,,,,,,
-0.701084006,0.170756572,-0.446725578,,,,,,
0.437063938,0.844080561,,,,,,,
-0.195120407,0.041573006,,,,,,,
0.293867985,1.854447103,1.452102406,,,,,,
-0.117329368,-0.181445101,0.671491704,,,,,,
0.378140706,0.489373176,0.718659481,,,,,,
0.2845484,1.246781761,-0.071967678,,,,,,
0.439991349,0.228726389,1.349519807,,,,,,
0.287551345,0.137910794,1.117741594,,,,,,
-0.44020065,-0.013381962,-0.706753886,,,,,,
-0.120092822,-0.052514201,0.404241139,,,,,,
0.32075495,1.056355964,0.111419025,,,,,,
0.424946222,-1.440371869,0.642497402,,,,,,
-1.570625446,1.017018153,-2.00656539,,,,,,
-0.172339027,-0.273893675,-0.494949079,,,,,,
0.721236942,1.006810459,0.056701586,,,,,,
-0.693174699,-3.22677434,1.812735574,,,,,,
0.377501346,0.024553077,-0.42635076,,,,,,
1.498220956,0.745454063,-0.504623085,,,,,,
0.568742911,-0.199680102,-0.458966387,,,,,,
1.359109071,-0.392304211,-0.0160538,,,,,,
-0.980110596,0.613955568,-0.127034281,,,,,,
-0.656214719,-0.314571193,-2.406575162,,,,,,
-0.759338813,-1.172722221,0.233244359,,,,,,
1.114324356,1.479667733,0.162929035,,,,,,
1.088139386,1.438393418,0.585123434,,,,,,
-2.139390713,1.100776652,,,,,,,
0.776966498,0.45016828,1.261608912,,,,,,
-0.650645726,-1.544978003,-0.675274698,,,,,,
-1.051399113,-1.46472881,-2.004433825,,,,,,
-0.289298841,0.23000564,-1.186888886,,,,,,
1.364612755,0.689420861,-0.537434047,,,,,,
0.298994208,0.565793525,-0.351653826,,,,,,
1.318787952,-0.441306103,-0.974053338,,,,,,
-1.632890362,0.001753191,,,,,,,
1.604633313,-0.299432779,1.033551221,,,,,,
0.320452527,-0.95128755,1.084902021,,,,,,
0.575317829,-0.034496913,-0.417453118,,,,,,
0.866621231,0.811557764,1.140240183,,,,,,
-1.96655486,-1.206891087,1.918361512,,,,,,
