x,y,z,lp_x,lp_y,lp_z,hp_x,hp_y,hp_z
0.368380718,-0.63054995,-0.821915745,,,,,,
-0.129020008,-1.855995036,-1.571596775,,,,,,
0.416977288,0.25875993,-0.265907057,,,,,,
1.246563916,-2.154508922,-0.309036305,,,,,,
0.31482138,-0.17484318,0.456317507,,,,,,
1.362294734,0.325796668,0.948692889,,,,,,
-1.050096491,0.037194591,0.433565762,,,,,,
1.053534071,-0.76439948,0.558174037,,,,,,
0.547607148,-0.964096806,0.462431014,,,,,,
0.689757246,0.081730798,-0.960014745,,,,,,
0.078209656,-0.091595604,-0.000821395,,,,,,
-0.31683701,1.643056861,0.120133963,,,,,,
-0.929441975,-0.420635582,0.104567552,,,,,,
0.887007679,-0.254841583,0.344651381,,,,,,
-0.657819075,0.776730587,,,,,,,
-0.422986429,-2.018378758,0.392369893,,,,,,
-0.20653155,0.362904077,,,,,,,
0.608563681,0.29617404,-0.747164712,,,,,,
1.325768262,0.819268162,0.852721822,,,,,,
0.487936868,-0.13813075,-1.0220058,,,,,,
0.649533716,-0.307861055,0.461464084,,,,,,
2.952179095,1.588543994,1.44439821,,,,,,
0.514898438,-0.643836986,0.537682419,,,,,,
1.234751957,0.295125134,-0.007300853,,,,,,
1.126352553,0.257146404,-0.292177639,,,,,,
1.256325837,0.97278418,0.363236543,,,,,,
-0.41848477,0.068774463,-0.166342475,,,,,,
1.369335489,1.335714845,0.787541615,,,,,,
-0.858584385,-0.258874974,0.50772236,,,,,,
0.073857733,-1.277453795,0.509886133,,,,,,
-0.812925141,-0.35396504,-1.777350838,,,,,,
-0.556190813,-2.762700763,-1.764844838,,,,,,
-1.692582817,-0.993021536,1.740956721,,,,,,
1.42759236,0.820107318,0.992452051,,,,,,
0.385358514,0.198072395,-0.729648002,,,,,,
-1.492772163,0.452003148,-0.384184109,,,,,,
0.043241992,-1.2844986,-0.862679698,,,,,,
0.551911095,-0.418934299,0.000659049,,,,,,
0.817301082,0.071371966,-0.698948782,,,,,,
1.24479967,-1.484687563,1.374224719,,,,,,
1.299002531,-1.197165022,0.020970524,,,,,,
0.545827192,-0.290076696,1.352771446,,,,,,
1.204151488,0.766631457,0.364070454,,,,,,
-0.021580598,0.681089179,-0.685480026,,,,,,
-1.302444887,-0.08816637,-0.151048234,,,,,,
0.359902827,0.10568273,-0.962747378,,,,,,
-0.490288597,0.322712024,1.696936944,,,,,,
-0.030403602,0.38655148,-0.750091508,,,,,,
-3.474251811,0.293211852,-0.795310445,,,,,,
-0.624715398,-0.748203918,0.779471758,,,,,,
1.046852352,-0.382082294,-0.479108962,,,,,,
0.036215057,-1.78390826,-1.419519956,,,,,,
-0.061437145,-0.161285834,-1.065391757,,,,,,
-0.208395865,-0.607228539,-1.021402211,,,,,,
0.020593897,-1.489566196,-1.900705984,,,,,,
-0.370119113,-0.573892818,-1.264964562,,,,,,
0.991246111,0.767998639,-0.669725714,,,,,,
0.997100961,0.661407383,-0.65711347,,,,,,
0.062115064,0.335834257,-0.479322261,,,,,,
1.055123163,1.96175109,1.644594018,,,,,,
-0.951869013,0.394380982,0.033394913,,,,,,
0.706054169,0.711675637,-0.508007075,,,,,,
-0.513949446,1.426443026,0.933893627,,,,,,
0.780652543,0.78995556,1.223936707,,,,,,
